index,address,city,Name,Latitude,Longitude,landform_type
landf_14,"Albergo Lago Santa Colomba, Strada per Santa Colomba, Sant'Agnese, Civezzano, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38045, Italia",Civezzano,Lago Santa Colomba,46.1244,11.1807,lake
landf_15,"Via Coste de Lagol, Lagolo, Madruzzo, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38076, Italia",Madruzzo,Lago di Lagolo,46.0401,11.006,lake
landf_16,"Sentiero Lago Lases, Lases, Lona-Lases, Comunità della Valle di Cembra, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38040, Italia",Lona-Lases,Lago di Lases,46.1391,11.2213,lake
landf_17,"Località Némbia, San Lorenzo Dorsino, Comunità delle Giudicarie, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38070, Italia",San Lorenzo Dorsino,Lago di Nembia,46.0972,10.9331,lake
landf_18,"Abisso di Lamar, Strada dei Laghi di Lamar, Vallelaghi, Comunità della Valle dei Laghi, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38015, Italia",Vallelaghi,Lago di Lamar,46.1304,11.0636,lake
landf_19,"Antro a SSE di Sant' Antonio, Strada forestale Driosilana, Pieve Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38050, Italia",Pieve Tesino,Antro a SSE di Sant Antonio,46.0934588,11.6150319,cave
landf_20,"Buco del Fango, Strada forestale Luisierne, Masi dei Mioli, Maso dei Taviani, Pieve Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38050, Italia",Pieve Tesino,Buco del Fango,46.0801229,11.5926849,cave
landf_21,"Buco del Pal, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Buco del Pal,45.9873309,11.5909969,cave
landf_22,"Bus de l' Acqua, Strada forestale PrapezzÃ¨, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Castello Tesino,Bus de l Acqua,46.087753,11.6811786,cave
landf_23,"Caverna 2 di Malga Valfontane, Strada forestale Val Fontane, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Caverna 2 di Malga Valfontane,46.1048373,11.6684993,cave
landf_24,"Caverna dei ciclopi, Strada forestale Val Caora Bassa, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Caverna dei ciclopi,46.1199366,11.722501,cave
landf_25,"Caverna dei Pastori, Traccia Sentiero Cima Agaro - Magri, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Caverna dei Pastori,46.0903937,11.6568324,cave
landf_26,"Caverna del fiume scomparso, Strada forestale Val Caora Bassa, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Caverna del fiume scomparso,46.1204231,11.7209719,cave
landf_27,"Caverna sentinella 1, Strada forestale Val Caora Bassa, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Caverna sentinella 1,46.1204265,11.7227193,cave
landf_28,"Caverna sentinella 2ï¿½, Strada forestale Val Caora Bassa, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Caverna sentinella 2 ,46.1204175,11.7227189,cave
landf_29,"Caverna sentinella 3, Strada forestale Val Caora Bassa, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Caverna sentinella 3,46.1202932,11.722648,cave
landf_30,"Cavernetta sotto Pozzo Lares, Strada forestale Val Fontane, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Cavernetta sotto Pozzo Lares,46.0999517,11.6622601,cave
landf_31,"Coalo de la Taiarona, Via per Petretto, Ospedaletto, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Ospedaletto,Coalo de la Taiarona,46.0154788,11.5618708,cave
landf_32,"Coalo del BracalgiÃ²n, Via per Petretto, Ospedaletto, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Ospedaletto,Coalo del Bracalgion,46.01512,11.5618155,cave
landf_33,"Coalo della polveriera, LocalitÃ  Selva, Ospedaletto, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Ospedaletto,Coalo della polveriera,46.0201094,11.5784912,cave
landf_34,"Coalo sotto il Pozzo della Singala, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Coalo sotto il Pozzo della Singala,46.0048385,11.588089,cave
landf_35,"Cogolo dei Agnei, Via per Petretto, Roncade, Ospedaletto, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38059, Italia",Ospedaletto,Cogolo dei Agnei,46.0240068,11.5576525,cave
landf_36,"Covolo del Vento, Strada della Marcesina - Die Barricata StraÃŸe, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Covolo del Vento,46.0041255,11.6084148,cave
landf_37,"Covolo della Tomba, Strada della Marcesina, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Covolo della Tomba,46.004,11.6059965,cave
landf_38,"Covolo delle Balze, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Covolo delle Balze,46.0053936,11.5850409,cave
landf_39,"Crepa del Colon, Via per Petretto, Ospedaletto, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Ospedaletto,Crepa del Colon,46.0201159,11.560987,cave
landf_40,"el Coglolo dei Ortesini/di Kuvl vÃ³n LÃ©hr-HÃ³vl, Tetsch - Via Tezze, Tetsch - Tezze, LusÃ©rn - Luserna, Magnifica ComunitÃ  degli Altipiani Cimbri, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Luserna,el Coglolo dei Ortesini di Kuvl ,45.9174675,11.3170425,cave
landf_41,"Grotta 1 dei Briganti, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Grotta 1 dei Briganti,45.9923717,11.6015017,cave
landf_42,"Grotta 1 delle Beccarie, Strada della Marcesina - Die Barricata StraÃŸe, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta 1 delle Beccarie,46.0047244,11.6077734,cave
landf_43,"Grotta 1 delle Pale Rosse, Strada forestale Tonarezza di Sotto, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Grotta 1 delle Pale Rosse,46.118584,11.7263818,cave
landf_44,"Grotta 1 delle sabbie, Strada forestale Albarea bassa, Lissa, Pieve Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Pieve Tesino,Grotta 1 delle sabbie,46.0792814,11.6212729,cave
landf_45,"Grotta 2 dei Briganti, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Grotta 2 dei Briganti,45.9923382,11.60155,cave
landf_46,"Grotta 2 delle Beccarie, Strada della Marcesina - Die Barricata StraÃŸe, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta 2 delle Beccarie,46.0047243,11.6077737,cave
landf_47,"Grotta 2 delle sabbie, Strada forestale Albarea bassa, Lissa, Pieve Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Pieve Tesino,Grotta 2 delle sabbie,46.0792562,11.6211941,cave
landf_48,"Grotta a Est di Malga Valfontane, Strada forestale Val Fontane, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Grotta a Est di Malga Valfontane,46.1048374,11.6684958,cave
landf_49,"Grotta a Sud di Malga Zanca, Strada forestale Tonarezza di Sopra, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Grotta a Sud di Malga Zanca,46.1117755,11.6915587,cave
landf_50,"Grotta dei Camosci, Strada della Marcesina - Die Barricata StraÃŸe, Selva di Grigno, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta dei Camosci,46.0095685,11.5896134,cave
landf_51,"Grotta dei Due Ingressi, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Grotta dei Due Ingressi,46.0056723,11.5854543,cave
landf_52,"Grotta dei Soeri, Strada della Marcesina - Die Barricata StraÃŸe, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta dei Soeri,46.0073382,11.6115525,cave
landf_53,"Grotta del Calgeron, Sentiero grotte Calgeron, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta del Calgeron,46.0074146,11.6192771,cave
landf_54,"Grotta del Colo, sentiero per Grotta del Colo, Pieve Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Pieve Tesino,Grotta del Colo,46.0893491,11.6150992,cave
landf_55,"Grotta del Corvo, Via Pertega, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta del Corvo,46.0088652,11.6171894,cave
landf_56,"Grotta del Muschio, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Grotta del Muschio,46.0053932,11.5854542,cave
landf_57,"Grotta del Salto, Via Pertega, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta del Salto,46.0086712,11.6178003,cave
landf_58,"Grotta del Soffio, Strada della Marcesina - Die Barricata StraÃŸe, Selva di Grigno, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta del Soffio,46.0063165,11.5944989,cave
landf_59,"Grotta dell' Asenaro, Strada forestale Albarea bassa, Lissa, Pieve Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Pieve Tesino,Grotta dell Asenaro,46.0776146,11.6209918,cave
landf_60,"Grotta dell' Orso, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Grotta dell Orso,46.0063111,11.5862591,cave
landf_61,"Grotta della Bigonda, Strada della Marcesina - Die Barricata StraÃŸe, Ospedaletto, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Ospedaletto,Grotta della Bigonda,46.0181626,11.5809973,cave
landf_62,"Grotta della Fosca, Strada forestale Vallunga, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Grotta della Fosca,46.1340042,11.726276,cave
landf_63,"Grotta della Porta, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Grotta della Porta,46.0042871,11.5901815,cave
landf_64,"Grotta della Volpe, Strada forestale Vallunga, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Grotta della Volpe,46.1339999,11.7268325,cave
landf_65,"Grotta delle Taie, Strada della Bigonda, Ospedaletto, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Ospedaletto,Grotta delle Taie,46.0160877,11.5668209,cave
landf_66,"Grotta dello Sbircio, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Grotta dello Sbircio,46.0053976,11.5868494,cave
landf_67,"Grotta di Castel Tesino, Strada forestale PrapezzÃ¨, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Castello Tesino,Grotta di Castel Tesino,46.0885855,11.6814614,cave
landf_68,"Grotta di Ernesto, Strada forestale Val d'Antenne, Case Celeste, Tezze Valsugana, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Grotta di Ernesto,45.9781115,11.6563377,cave
landf_69,"Grotta di Gange, sentiero per Grotta del Colo, Pieve Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Pieve Tesino,Grotta di Gange,46.088176,11.6136137,cave
landf_70,"Grotta di Lissa, Sentiero di Passugola, Lissa, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Grotta di Lissa,46.0752538,11.6298901,cave
landf_71,"Grotticella alla Casera Spessa, SP79, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Castello Tesino,Grotticella alla Casera Spessa,46.1290196,11.6935898,cave
landf_72,"Miniera dell'Aubis, Hosler, MitterpÃ¨rg - San Felice, Fierozzo - Vlarotz, ComunitÃ  Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Fierozzo,Miniera dellAubis,46.1119712,11.3132041,cave
landf_73,"Postazione Austriaca 1915/1918, Mulattiera militare, FiorÃ©, Baselga di PinÃ©, ComunitÃ  Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38042, Italia",Baselga di Pine,Postazione Austriaca 1915 1918,46.1162799,11.2767013,cave
landf_74,"Pozzo Alessandro, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Pozzo Alessandro,45.9874651,11.5997844,cave
landf_75,"Pozzo dei Caprioli, Strada forestale Costalta Valvacchetta, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Pozzo dei Caprioli,45.9995587,11.6097407,cave
landf_76,"Pozzo dei Cinque, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Pozzo dei Cinque,45.9906656,11.586827,cave
landf_77,"Pozzo del dragone, Strada forestale Val Fontane, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Pozzo del dragone,46.099319,11.6654641,cave
landf_78,"Pozzo della Saetta, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Pozzo della Saetta,46.0063131,11.582591,cave
landf_79,"Pozzo della Scura, Strada forestale Laghetti, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Pozzo della Scura,45.9817768,11.5918221,cave
landf_80,"Pozzo della Singala, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Pozzo della Singala,46.004733,11.5879808,cave
landf_81,"Pozzo dello sciamano, Strada forestale Costalta Valvacchetta, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Pozzo dello sciamano,45.9981143,11.6055919,cave
landf_82,"Pozzo Dogomale, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Pozzo Dogomale,46.0008889,11.5940213,cave
landf_83,"Pozzo Lares, Strada forestale Val Fontane, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Pozzo Lares,46.1000236,11.6622636,cave
landf_84,"Pozzo Nicola, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Grigno,Pozzo Nicola,46.0056058,11.579946,cave
landf_85,"Riparo Dalmeri, Strada forestale Giogomalo, Grigno, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38055, Italia",Grigno,Riparo Dalmeri,45.9951297,11.6016642,cave
landf_86,"Risorgiva di Val Noana, Val Caora, Imer, ComunitÃ  di Primiero, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Imer,Risorgiva di Val Noana,46.1306614,11.8131647,cave
landf_87,"Sorgente di Malga Arpaco, Strada forestale Tonarezza di Sopra, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Sorgente di Malga Arpaco,46.1116924,11.6988921,cave
landf_88,"Sorgente Ferrugginosa, Strada Forestale ""Costalta"", Fovo alto, Rizzolaga, Baselga di PinÃ©, ComunitÃ  Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38042, Italia",Baselga di Pine,Sorgente Ferrugginosa,46.1300562,11.2764748,cave
landf_89,"Stoli, Via Di Sopra, Mezzano, ComunitÃ  di Primiero, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38054, Italia",Mezzano,Stoli,46.1557093,11.8038808,cave
landf_90,"Stoli, Via Di Sopra, Mezzano, ComunitÃ  di Primiero, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38054, Italia",Mezzano,Stoli,46.1558973,11.8045149,cave
landf_91,"Tana trifoglio, Strada forestale Val Caora Bassa, Cinte Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, Italia",Cinte Tesino,Tana trifoglio,46.1198483,11.722432,cave
landf_92,"Uvada, Strada forestale Gorgantile, Castello Tesino, ComunitÃ  Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/SÃ¼dtirol, 38053, Italia",Castello Tesino,Uvada,46.1065615,11.6613364,cave
landf_93,Castello Tesino,"traccia per Passo diavoli, Castello Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cima d'Asta,46.1766183,11.6052937,mountain
landf_94,Grigno,"Forte Leone, Via Nazionale, Tezze Valsugana, Grigno, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38055, Italia",Cima Campo,45.9998035,11.6879398,mountain
landf_95,Capriana,"9, Capriana, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38030, Italia",Monte Corno - Trudner Horn,46.2898752,11.3238241,mountain
landf_96,Cinte Tesino,"Strada forestale Prà della Castellana, Cinte Tesino, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38053, Italia",Monte Mezza,46.0455556,11.5816667,mountain
landf_97,Canal San Bovo,"Monte Totoga, Sentiero Gaetano Moretta, Gobbera, Canal San Bovo, Comunità di Primiero, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Monte Totoga,46.135559,11.7492946,mountain
landf_98,Tesero,"Troso dele Spiase (E518), Tesero, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38038, Italia",Cornacci,46.3113226,11.5235816,mountain
landf_99,Telve,"Strada Provinciale del Passo del Manghen, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Ziolera,46.171736,11.4554569,mountain
landf_100,Cavalese,"al lago del Forame, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cimon di Val Moena,46.220685,11.4792198,mountain
landf_101,Predazzo,"Bait de Mulat, Strada per Pragatai, Zaluna, Bellamonte, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",La Sopösa,46.3251155,11.6219478,mountain
landf_102,Predazzo,"Pragatai, Zaluna, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",Monte Mulat - Mül Grant,46.3270715,11.6326015,mountain
landf_103,Predazzo,"Alta Via di Viezena, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia",Viezzena - Viesena,46.3376652,11.6751093,mountain
landf_104,Moena,"Valbona, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia",Sas de Mezdì,46.3562573,11.6704242,mountain
landf_105,Tesero,"Santana Weg-Nr574, Tesero, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Pala di Santa,46.3458524,11.5123106,mountain
landf_106,Castel Ivano,"Lapidi in memoria di giovani partigiani (I Piccoli Maestri), Strada forestale Brustolaè, Bislonghi, Castel Ivano, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38059, Italia",Cima Incudine,46.0120088,11.5487399,mountain
landf_107,Moena,"Sentiero forestale do Peniola, Moena, Comun General de Fascia, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38035, Italia",Sas da Ciamp,46.37956,11.62491,mountain
landf_108,Predazzo,"515B, Predazzo, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38037, Italia",La Forcella di Pelenzana,46.310669,11.571878,mountain
landf_109,Cavalese,"Sentiero per Cima delle Stellune, Cavalese, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cima delle Stellune,46.1994171,11.5107524,mountain
landf_110,Ziano di Fiemme,"mulattiera Grande Guerra, Ziano di Fiemme, Comunità territoriale della Val di Fiemme, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Pala del Cardinal,46.2439106,11.6018329,mountain
landf_111,Baselga di Pine,"Cros de Costalta, Sentiero delle scalette, Baselga di Piné, Comunità Alta Valsugana e Bersntol, Provincia di Trento, Trentino-Alto Adige/Südtirol, 38042, Italia",Dosso di Costalta,46.1321025,11.2891682,mountain
landf_112,Telve,"Bivacco ANA ai Mangheneti, Strada Provinciale del Passo del Manghen, Telve, Comunità Valsugana e Tesino, Provincia di Trento, Trentino-Alto Adige/Südtirol, Italia",Cima Fornace,46.1647739,11.4192871,mountain
